stop_id,stop_lat,stop_lon
1,48.58789710,007.55102356
2,48.58609902,007.55111154
3,48.58795680,007.55373232
4,48.58615872,007.55382021
5,48.58436064,007.55390809
6,48.58801643,007.55644110
7,48.58621835,007.55652889
8,48.58442027,007.55661667
9,48.58807600,007.55914988
10,48.56163739,007.58483060
11,48.55983926,007.58491730
12,48.56169626,007.58753798
13,48.55989813,007.58762458
14,48.56175506,007.59024537
15,48.55995693,007.59033187
16,48.56001567,007.59303917
17,48.55821753,007.59312557
18,48.57991240,007.59750499
19,48.58176909,007.60012717
20,48.57997096,007.60021337
21,48.57817283,007.60029957
22,48.50444836,007.60382685
23,48.50265017,007.60391272
24,48.58002946,007.60292176
25,48.57823133,007.60300786
26,48.57643320,007.60309395
27,48.50630494,007.60644539
28,48.50450675,007.60653117
29,48.58008789,007.60563015
30,48.50816147,007.60906412
31,48.50636328,007.60914981
32,48.50456508,007.60923549
33,48.58014626,007.60833855
34,48.55497224,007.60954050
35,48.51181612,007.61159743
36,48.50642154,007.61185423
37,48.50462335,007.61193982
38,48.58200269,007.61096114
39,48.58020455,007.61104696
40,48.56042497,007.61199041
41,48.55862681,007.61207613
42,48.55682866,007.61216184
43,48.56228133,007.61461212
44,48.56048317,007.61469775
45,48.55868502,007.61478338
46,48.55688686,007.61486899
47,48.55149238,007.61512580
48,48.56233947,007.61731957
49,48.56054132,007.61740510
50,48.55874316,007.61749063
51,48.55514684,007.61766166
52,48.55520491,007.62036872
53,48.54621407,007.62079568
54,48.58223524,007.62179521
55,48.57684080,007.62205147
56,48.58409136,007.62441840
57,48.58229321,007.62450374
58,48.58049506,007.62458907
59,48.57869692,007.62467439
60,48.57689876,007.62475971
61,48.58414927,007.62712704
62,48.58235112,007.62721228
63,48.58055297,007.62729751
64,48.57875482,007.62738273
65,48.57695666,007.62746795
66,48.58420711,007.62983568
67,48.58240896,007.62992082
68,48.58061081,007.63000595
69,48.57701450,007.63017620
70,48.53385833,007.63221675
71,48.53206014,007.63230168
72,48.53026195,007.63238660
73,48.58246673,007.63262937
74,48.56268695,007.63356436
75,48.56088878,007.63364931
76,48.55909061,007.63373426
77,48.55729243,007.63381920
78,48.55549426,007.63390413
79,48.53571424,007.63483784
80,48.53391604,007.63492268
81,48.53211785,007.63500751
82,48.53031965,007.63509233
83,48.58252444,007.63533792
84,48.58072628,007.63542286
85,48.56274463,007.63627184
86,48.56094646,007.63635670
87,48.55914828,007.63644155
88,48.55735011,007.63652639
89,48.55555193,007.63661122
90,48.53577188,007.63754387
91,48.53397369,007.63762861
92,48.53217549,007.63771335
93,48.58258208,007.63804648
94,48.56280225,007.63897934
95,48.56100407,007.63906410
96,48.55920589,007.63914885
97,48.55740772,007.63923359
98,48.55560954,007.63931832
99,48.53582946,007.64024991
100,48.53403126,007.64033455
101,48.51604921,007.64118057
102,48.51425100,007.64126512
103,48.51245278,007.64134968
104,48.51065457,007.64143422
